match_id,minute,home_xg,away_xg,home_cumulative_xg,away_cumulative_xg
26-27-prem-arsenal-vs-coventry-city,5,0.091,0.0,0.091,0.0
26-27-prem-arsenal-vs-coventry-city,7,0.094,0.0,0.185,0.0
26-27-prem-arsenal-vs-coventry-city,8,0.076,0.0,0.262,0.0
26-27-prem-arsenal-vs-coventry-city,9,0.018,0.0,0.28,0.0
26-27-prem-arsenal-vs-coventry-city,13,0.0,0.014,0.28,0.014
26-27-prem-arsenal-vs-coventry-city,15,0.244,0.0,0.524,0.014
26-27-prem-arsenal-vs-coventry-city,23,0.52,0.0,1.044,0.014
26-27-prem-arsenal-vs-coventry-city,33,0.089,0.0,1.134,0.014
26-27-prem-arsenal-vs-coventry-city,38,0.083,0.0,1.217,0.014
26-27-prem-arsenal-vs-coventry-city,42,0.0,0.026,1.217,0.04
26-27-prem-arsenal-vs-coventry-city,45,0.076,0.0,1.293,0.04
26-27-prem-arsenal-vs-coventry-city,49,0.119,0.0,1.412,0.04
26-27-prem-arsenal-vs-coventry-city,52,0.045,0.0,1.457,0.04
26-27-prem-arsenal-vs-coventry-city,61,0.033,0.0,1.49,0.04
26-27-prem-arsenal-vs-coventry-city,62,0.029,0.0,1.519,0.04
26-27-prem-arsenal-vs-coventry-city,65,0.042,0.0,1.562,0.04
26-27-prem-arsenal-vs-coventry-city,67,0.0,0.019,1.562,0.059
26-27-prem-arsenal-vs-coventry-city,72,0.058,0.0,1.619,0.059
26-27-prem-arsenal-vs-coventry-city,78,0.034,0.0,1.653,0.059
26-27-prem-arsenal-vs-coventry-city,82,0.043,0.0,1.696,0.059
26-27-prem-arsenal-vs-coventry-city,86,0.0,0.145,1.696,0.204
26-27-prem-arsenal-vs-coventry-city,90,0.107,0.0,1.803,0.204
