player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
277,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,,,,,,,
273,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,90.0,,,,,,,,,,42.0,,,,2.0,,,,,0.0,0.0,8.0,,0.0,,,,,,,,,,0.0,3.0,1.0,1.04,0.04,0.0,23.0,3.0,,0.0,,3.0,,,,,,0,121,1,0.0,0,,,,,,,
285,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,90.0,0.0,0.0,1.0,0.2,0.09,0.0,,,3.0,99.0,85.0,92.0,1.0,4.0,0.0,0.0,4.0,50.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,100.0,2.0,67.0,,0.0,,,,,,,,0.0,,,,,,,,,0,121,1,0.0,0,,,,,,,
288,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,81.0,1.0,0.0,3.0,0.14,0.21,2.0,,,2.0,43.0,21.0,84.0,2.0,4.0,0.0,0.0,,,3.0,0.0,2.0,0.0,0.0,,0.0,7.0,1.0,7.0,88.0,0.0,,4.0,1.0,,,,,,,,0.0,,,,,,,0.74,,0,81,1,0.0,0,,,,,,,
296,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,81.0,0.0,0.0,6.0,1.15,,2.0,,,8.0,25.0,9.0,82.0,0.0,1.0,,,,,0.0,0.0,1.0,0.0,0.0,,0.0,6.0,6.0,4.0,44.0,2.0,67.0,3.0,2.0,,,,,,,,3.0,,,,,,,0.05,,0,81,1,0.0,0,,,,,,,
311,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,16.0,0.0,0.0,,,0.01,,,,0.0,15.0,8.0,80.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,,,1.0,,,,,,,,0.0,,,,,,,,,74,94,1,0.0,0,,,,,,,
292,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,77.0,0.0,0.0,2.0,0.05,0.02,0.0,,,1.0,39.0,27.0,100.0,0.0,2.0,,,,,2.0,1.0,10.0,0.0,0.0,,0.0,2.0,8.0,2.0,33.0,0.0,0.0,,0.0,,,,,,,,1.0,,,,,,,,,0,77,1,0.0,0,,,,,,,
290,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,9.0,0.0,0.0,1.0,0.02,0.01,1.0,,,1.0,6.0,3.0,100.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.01,,81,121,0,0.0,0,,,,,,,
563,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,31.0,0.0,0.0,,,0.04,,,,1.0,30.0,23.0,88.0,1.0,4.0,,,2.0,67.0,0.0,3.0,3.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,59,121,0,0.0,0,,,,,,,
287,26-27-efl-cup-stoke-city-vs-hull-city-2026-08-24,90.0,0.0,1.0,1.0,0.1,0.47,0.0,,,4.0,64.0,42.0,91.0,4.0,4.0,1.0,25.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,3.0,4.0,2.0,40.0,1.0,50.0,,0.0,,,,,,,,1.0,,,,,,,,,0,121,1,0.0,0,,,,,,,
