id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,6.0,61,1,38.5,6,1,4.0,68,3,0,0,0,0,0,21971,12841,0.7,2.0,4.0,4.0,6.0,41,2,,,194,20,633,71,628,71,267,20,,,,,,,,0.0,0.0,0.0,0.26,0.5,1.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25367,15448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Gabriel,dos Santos Magalhães,Gabriel,a,,,8.0,7,1,25.6,10,2,4.3,60,24,0,0,0,0,0,4379,20161,0.5,1.6,4.3,4.3,6.5,28,12,,,154,69,210,67,182,61,207,81,,,,,,,,0.09,0.02,0.11,0.26,0.0,1.0,0.0,1.0,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4676,23828,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,Jurriën,Timber,J.Timber,d,Groin injury - 25% chance of playing,,6.5,40,3,0.1,449,158,0.0,646,214,0,0,0,0,0,98,196,0.0,0.0,0.0,0.0,0.0,646,214,25.0,25.0,645,214,645,214,644,214,645,214,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,William,Saliba,Saliba,i,Back injury - Unknown return date,,6.0,75,8,0.2,325,119,0.0,638,213,0,0,0,0,0,133,560,0.0,0.0,0.0,0.0,0.0,638,213,0.0,0.0,634,213,635,213,630,213,635,213,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,573,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.5,177,108,0.7,228,76,2.0,171,78,0,0,0,0,0,887,860,0.4,1.1,2.0,2.0,3.0,133,54,,,171,64,99,61,133,68,146,71,,,,,,,,0.07,0.07,0.14,0.3,0.0,1.12,0.0,1.12,6.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,962,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8,Riccardo,Calafiori,Calafiori,a,,,5.7,117,11,46.0,4,1,6.7,14,6,0,0,0,2,-2,46092,4670,1.2,3.5,6.7,6.7,10.0,5,2,,,69,28,110,34,126,40,89,28,,,,,,,,0.08,0.29,0.37,0.21,0.0,1.06,0.0,1.06,4.24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50047,6384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9,Piero,Hincapié,Hincapie,a,,,5.3,236,34,1.2,175,69,0.3,355,127,0,-1,1,-2,2,538,2031,0.1,0.2,0.3,0.3,1.0,318,121,,,333,124,310,116,558,205,346,123,,,,,,,,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,2258,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10,Benjamin,White,White,a,,,5.5,133,15,7.6,57,22,6.0,25,10,0,0,0,0,0,17376,9682,1.1,3.3,6.0,6.0,9.0,10,3,100.0,100.0,59,22,35,7,124,39,56,12,,,,,,,,0.09,0.13,0.22,0.26,0.0,1.0,0.0,1.0,4.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18642,11851,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11,Cristhian,Mosquera,Mosquera,d,Unspecified injury - 75% chance of playing,,5.5,178,25,4.3,83,33,4.0,66,29,0,0,0,0,0,210,13597,0.7,2.2,3.0,3.0,6.0,39,17,75.0,75.0,157,71,250,85,606,211,227,88,,,,,,,,0.0,0.01,0.01,0.28,0.0,1.07,0.0,1.07,5.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,16766,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
12,Bukayo,Saka,Saka,a,,,9.5,4,3,11.0,38,14,6.7,16,6,0,0,0,0,0,22687,6222,0.7,2.1,6.7,6.7,10.0,7,3,,,6,5,66,45,10,6,7,6,2.0,2.0,1.0,,,,,0.73,0.07,0.8,0.22,0.0,1.15,0.0,1.15,10.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26156,7821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,Declan,Rice,Rice,a,,,7.5,16,10,14.2,29,11,2.7,128,57,0,0,0,0,0,2201,14665,0.4,1.1,2.7,2.7,4.0,85,39,,,134,49,67,46,246,120,128,64,1.0,1.0,,,,,,0.04,0.11,0.15,0.23,0.0,1.19,0.0,1.19,10.73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,16473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14,Eberechi,Eze,Eze,a,,,6.4,51,35,1.4,155,47,0.7,307,146,0,0,0,-1,1,750,2226,0.1,0.3,0.7,0.7,1.0,357,169,,,316,142,220,120,215,104,307,140,,3.0,,,,,,0.06,0.11,0.17,0.59,0.0,0.0,0.0,0.0,7.63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,2458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
