match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
26-27-prem-arsenal-vs-coventry-city,1,90,5.0,True,14.0,,miss,free-kick,right-foot,0.0339,,30.1,47.4,31.6,69.4,high-right
26-27-prem-arsenal-vs-coventry-city,2,90,1.0,True,,,save,assisted,left-foot,0.0733,0.5744,23.0,55.9,45.5,6.3,low-right
26-27-prem-arsenal-vs-coventry-city,3,86,,False,183.0,,save,assisted,head,0.1455,0.0431,8.6,50.5,50.1,9.5,low-centre
26-27-prem-arsenal-vs-coventry-city,4,82,,True,,,miss,assisted,left-foot,0.0425,,22.6,36.4,55.1,84.7,high
26-27-prem-arsenal-vs-coventry-city,5,78,,True,,,block,fast-break,left-foot,0.0344,,10.2,73.4,48.4,19.0,low-centre
26-27-prem-arsenal-vs-coventry-city,6,72,,True,15.0,,block,assisted,left-foot,0.0575,,19.1,53.6,53.1,19.0,low-left
26-27-prem-arsenal-vs-coventry-city,7,67,,False,173.0,,miss,regular,right-foot,0.0191,,27.6,66.5,64.0,8.3,left
26-27-prem-arsenal-vs-coventry-city,8,65,,True,557.0,,save,corner,right-foot,0.0424,0.0901,18.7,39.7,51.6,7.0,low-centre
26-27-prem-arsenal-vs-coventry-city,9,62,,True,12.0,,block,corner,left-foot,0.0287,,15.5,46.2,51.2,19.0,low-centre
26-27-prem-arsenal-vs-coventry-city,10,61,,True,557.0,,block,assisted,right-foot,0.0332,,12.7,36.7,50.8,19.0,low-centre
26-27-prem-arsenal-vs-coventry-city,11,52,,True,7.0,,miss,assisted,left-foot,0.0455,,18.0,65.2,50.9,50.0,close-high
26-27-prem-arsenal-vs-coventry-city,12,49,,True,15.0,,goal,assisted,right-foot,0.1187,0.154,8.9,59.9,47.8,7.0,low-right
26-27-prem-arsenal-vs-coventry-city,13,45,2.0,True,13.0,,miss,corner,left-foot,0.05,,20.6,60.7,58.2,30.6,close-left
26-27-prem-arsenal-vs-coventry-city,14,45,1.0,True,15.0,,block,corner,left-foot,0.0259,,20.2,70.6,47.5,19.0,low-right
26-27-prem-arsenal-vs-coventry-city,15,42,,False,190.0,,miss,assisted,left-foot,0.026,,21.2,45.8,46.9,55.6,close-high
26-27-prem-arsenal-vs-coventry-city,16,38,,True,8.0,,block,assisted,left-foot,0.0833,,17.6,45.2,51.4,19.0,low-centre
26-27-prem-arsenal-vs-coventry-city,17,33,,True,,,block,assisted,right-foot,0.0894,,8.6,59.3,49.7,19.0,low-centre
26-27-prem-arsenal-vs-coventry-city,18,23,,True,12.0,,goal,fast-break,left-foot,0.5205,0.9872,6.8,55.1,50.0,1.9,low-centre
26-27-prem-arsenal-vs-coventry-city,19,15,,True,26.0,,goal,assisted,left-foot,0.2444,0.8108,14.6,51.6,46.0,2.5,low-right
26-27-prem-arsenal-vs-coventry-city,20,13,,False,190.0,,block,assisted,left-foot,0.0139,,28.4,64.9,49.6,19.0,low-centre
26-27-prem-arsenal-vs-coventry-city,21,9,,True,13.0,,miss,assisted,right-foot,0.018,,28.2,33.9,52.8,88.9,high
26-27-prem-arsenal-vs-coventry-city,22,8,,True,557.0,,save,corner,left-foot,0.0764,,15.5,49.5,52.6,19.0,low-left
26-27-prem-arsenal-vs-coventry-city,23,7,,True,12.0,,block,assisted,right-foot,0.094,,9.2,58.2,47.7,19.0,low-right
26-27-prem-arsenal-vs-coventry-city,24,5,,True,557.0,,miss,assisted,right-foot,0.0912,,15.8,42.0,36.0,73.6,high-right
26-27-prem-hull-city-vs-manchester-united,1,90,5.0,False,418.0,,miss,assisted,right-foot,0.024,,8.0,29.3,39.3,59.7,high-right
26-27-prem-hull-city-vs-manchester-united,2,90,3.0,False,439.0,,block,assisted,head,0.0357,,11.1,54.0,51.3,19.0,low-centre
26-27-prem-hull-city-vs-manchester-united,3,89,,False,,,block,assisted,left-foot,0.0105,,20.3,24.9,49.7,19.0,low-centre
26-27-prem-hull-city-vs-manchester-united,4,84,,False,418.0,,save,assisted,left-foot,0.0208,0.011,19.3,67.0,50.0,19.6,low-centre
26-27-prem-hull-city-vs-manchester-united,5,84,,False,432.0,,block,assisted,right-foot,0.0705,,18.8,34.3,49.1,19.0,low-centre
26-27-prem-hull-city-vs-manchester-united,6,79,,False,,,miss,corner,head,0.1077,,4.6,56.5,50.4,76.4,high
26-27-prem-hull-city-vs-manchester-united,7,78,,False,427.0,,save,fast-break,right-foot,0.3596,0.2852,14.5,56.4,48.4,17.7,low-centre
26-27-prem-hull-city-vs-manchester-united,8,76,,False,427.0,,miss,assisted,left-foot,0.037,,11.7,70.1,50.6,68.1,high
26-27-prem-hull-city-vs-manchester-united,9,75,,True,282.0,,block,assisted,left-foot,0.021,,20.8,28.0,48.1,19.0,low-right
26-27-prem-hull-city-vs-manchester-united,10,73,,True,281.0,,miss,throw-in-set-piece,right-foot,0.0608,,17.8,68.9,60.0,5.6,left
26-27-prem-hull-city-vs-manchester-united,11,67,,False,422.0,,miss,assisted,right-foot,0.2299,,4.3,56.9,39.8,83.3,high-right
26-27-prem-hull-city-vs-manchester-united,12,66,,False,,,block,assisted,right-foot,0.0714,,13.3,36.8,51.4,19.0,low-centre
26-27-prem-hull-city-vs-manchester-united,13,62,,True,286.0,,miss,assisted,left-foot,0.0179,,22.3,72.3,54.8,59.7,close-high
26-27-prem-hull-city-vs-manchester-united,14,59,,False,,,save,assisted,right-foot,0.0151,0.0103,30.6,32.2,49.7,20.3,high-centre
26-27-prem-hull-city-vs-manchester-united,15,56,,False,421.0,,block,corner,head,0.0971,,7.4,50.2,47.4,19.0,low-right
26-27-prem-hull-city-vs-manchester-united,16,51,,False,421.0,,miss,throw-in-set-piece,head,0.0181,,14.5,51.5,40.2,69.4,high-right
26-27-prem-hull-city-vs-manchester-united,17,45,2.0,False,,,block,assisted,right-foot,0.0407,,23.4,38.2,46.1,19.0,low-right
26-27-prem-hull-city-vs-manchester-united,18,44,,False,415.0,,miss,throw-in-set-piece,head,0.0815,,7.2,44.1,34.0,19.4,right
26-27-prem-hull-city-vs-manchester-united,19,38,,True,586.0,,goal,set-piece,head,0.2783,0.3206,5.2,49.7,47.1,19.0,low-right
26-27-prem-hull-city-vs-manchester-united,20,35,,False,427.0,,block,assisted,left-foot,0.0435,,9.4,64.8,50.9,19.0,low-centre
26-27-prem-hull-city-vs-manchester-united,21,29,,False,415.0,,miss,assisted,left-foot,0.327,,6.1,45.8,66.7,12.5,left
26-27-prem-hull-city-vs-manchester-united,22,25,,False,415.0,,miss,regular,left-foot,0.0612,,9.1,36.0,37.1,2.8,right
26-27-prem-hull-city-vs-manchester-united,23,21,,True,286.0,,miss,set-piece,left-foot,0.0301,,14.6,66.1,65.0,86.1,high-left
26-27-prem-hull-city-vs-manchester-united,24,20,,False,43.0,,block,regular,right-foot,0.0366,,21.9,56.1,50.2,19.0,low-centre
26-27-prem-hull-city-vs-manchester-united,25,17,,True,279.0,,goal,corner,right-foot,0.8057,0.9891,3.1,53.2,51.3,24.1,high-centre
26-27-prem-hull-city-vs-manchester-united,26,17,,True,295.0,,save,corner,right-foot,0.0677,0.3129,3.1,59.7,47.8,19.0,low-right
26-27-prem-hull-city-vs-manchester-united,27,15,,True,295.0,,save,assisted,head,0.0305,0.0988,12.6,52.6,52.8,14.6,low-left
26-27-prem-hull-city-vs-manchester-united,28,14,,False,,,save,assisted,left-foot,0.064,0.0681,15.3,63.9,49.3,7.0,low-centre
26-27-prem-hull-city-vs-manchester-united,29,13,,False,427.0,,save,assisted,right-foot,0.0568,0.2222,10.1,68.5,47.4,20.3,high-right
